Car_url,Year,Make,Model,Fuel_type,Price,Kms_Driven,Transmission,Address,City,Down_payment_amount,Loan_amount,Interest_rate_annual,Tenure_months,Emi
https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/virtus/gt-plus-15-tsi-evo-dsg-kukatpally-2022/23045464/,2022,Volkswagen,Virtus,petrol,1263000,92500,automatic,"Kukatpally, Hyderabad",Hyderabad,252600,1010400,9.5,60,21220
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/dzire/zxi-amt-hafeezpet-2017/26377490/,2017,Maruti,Dzire,petrol,532000,80000,automatic,"Hafeezpet, Hyderabad",Hyderabad,106400,425600,9.5,60,8938
https://www.spinny.com/buy-used-cars/hyderabad/ford/ecosport/trend-15l-tivct-kukatpally-2016/24779457/,2016,Ford,EcoSport,petrol,524000,94500,manual,"Kukatpally, Hyderabad",Hyderabad,104800,419200,9.5,60,8804
https://www.spinny.com/buy-used-cars/hyderabad/renault/kiger/rxz-amt-kukatpally-2022/26078370/,2022,Renault,Kiger,petrol,592000,88500,automatic,"Kukatpally, Hyderabad",Hyderabad,118400,473600,9.5,60,9946
https://www.spinny.com/buy-used-cars/hyderabad/ford/figo/duratorq-diesel-titanium-14-kukatpally-2013/26186042/,2013,Ford,Figo,diesel,243000,106500,manual,"Kukatpally, Hyderabad",Hyderabad,48600,194400,9.5,60,4083
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/ignis/zeta-12-mt-kukatpally-2018/26219252/,2018,Maruti,Ignis,petrol,401000,68500,manual,"Kukatpally, Hyderabad",Hyderabad,80200,320800,9.5,60,6737
https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/taigun/topline-10-tsi-at-kukatpally-2022/22337628/,2022,Volkswagen,Taigun,petrol,1227000,54500,automatic,"Kukatpally, Hyderabad",Hyderabad,245400,981600,9.5,60,20615
https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/sportz-12-kappa-vtvt-kukatpally-2018/26510620/,2018,Hyundai,Grand i10,petrol,458000,47500,manual,"Kukatpally, Hyderabad",Hyderabad,91600,366400,9.5,60,7695
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/eeco/5-str-ac-o-kukatpally-2022/26182529/,2022,Maruti,Eeco,petrol,472000,42500,manual,"Kukatpally, Hyderabad",Hyderabad,94400,377600,9.5,60,7930
https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/wagon-r-10/vxi-amt-uppal-2017/26201640/,2017,Maruti,Wagon R 1.0,petrol,391000,57000,automatic,"Uppal, Hyderabad",Hyderabad,78200,312800,9.5,60,6569
